time,a,b,c,d,e
2019-09-28 12:00:00,1.4266615,0.08940613,0.03826724,0.23920964,0.31000116
2019-09-28 15:00:00,1.6901917,0.15458764,0.059773672,0.32689694,0.4608468
2019-09-28 18:00:00,1.4663056,0.12866952,0.050458133,0.31933835,0.46932513
2019-09-28 21:00:00,1.8256425,0.10481602,0.044516303,0.3866191,0.34661013
2019-09-29 00:00:00,1.2467756,0.04583668,0.032244034,0.3286709,0.10886021
2019-09-29 03:00:00,1.3496503,0.07951984,0.037962094,0.4954713,0.28168648
2019-09-29 06:00:00,1.4073498,0.11193853,0.04122,0.69843745,0.46362036
2019-09-29 09:00:00,1.6579288,0.118650384,0.04540863,0.8608659,0.5406189
2019-09-29 12:00:00,2.1152308,0.12675552,0.04477809,0.8105205,0.6196441
2019-09-29 15:00:00,2.6543741,0.07637021,0.053124286,0.63501513,0.38367617
2019-09-29 18:00:00,2.3778281,0.060132753,0.070436776,0.48525336,0.27324006
2019-09-29 21:00:00,3.613098,0.05780611,0.08764574,0.5446789,0.23399802
2019-09-30 00:00:00,4.6119714,0.070787266,0.056266904,0.7075319,0.2459162
2019-09-30 03:00:00,4.440393,0.07897013,0.10881307,0.6715796,0.2480073
2019-09-30 06:00:00,4.3836813,0.07286697,0.09485738,0.7853573,0.22294964
2019-09-30 09:00:00,2.280092,0.05392033,0.07801743,0.55832905,0.18063927
2019-09-30 12:00:00,1.8068056,0.045127686,0.08956529,0.41912326,0.15195341
2019-09-30 15:00:00,1.8407092,0.059492704,0.41165677,0.30080277,0.071439974
2019-09-30 18:00:00,1.8547378,0.03676541,0.2357099,0.20784067,0.051213592
2019-09-30 21:00:00,2.2010977,0.028097874,0.06437155,0.32560676,0.078386836
2019-10-01 00:00:00,2.7046802,0.034939013,0.06307906,0.4597457,0.11468916
2019-10-01 03:00:00,2.8037016,0.025039535,0.062781364,0.2898665,0.054939862
2019-10-01 06:00:00,3.0285544,0.024814649,0.062185217,0.2597482,0.04906677
2019-10-01 09:00:00,3.1354024,0.024500633,0.06435063,0.25315857,0.057541646
2019-10-01 12:00:00,3.3487434,0.027489318,0.06530607,0.2735768,0.06878413
2019-10-01 15:00:00,3.524352,0.02624137,0.06414766,0.28069168,0.07442274
2019-10-01 18:00:00,3.8296497,0.0256128,0.06308424,0.2760957,0.075501025
2019-10-01 21:00:00,4.833239,0.028471146,0.06629643,0.29934654,0.08267786
2019-10-02 00:00:00,3.34471,0.024495922,0.062335312,0.22189835,0.07135957
2019-10-02 03:00:00,3.289437,0.02675786,0.06701287,0.22209208,0.07742577
2019-10-02 06:00:00,3.9146917,0.023849556,0.06013999,0.21316731,0.07070964
2019-10-02 09:00:00,5.2183022,0.024257408,0.06160031,0.23651811,0.07411471
2019-10-02 12:00:00,5.872586,0.024589725,0.06557608,0.24332523,0.07151667
2019-10-02 15:00:00,5.7096663,0.024075322,0.06989887,0.23050751,0.07021418
2019-10-02 18:00:00,5.1362333,0.025420152,0.07241658,0.2192608,0.06762442
2019-10-02 21:00:00,4.579793,0.026168948,0.084235966,0.20894343,0.06546568
2019-10-03 00:00:00,4.0502853,0.035578683,0.15568578,0.20024714,0.06375618
2019-10-03 03:00:00,4.165729,0.05641181,0.1597291,0.2584884,0.12001345
2019-10-03 06:00:00,4.578486,0.06459526,0.13412318,0.26808265,0.18714426
2019-10-03 09:00:00,4.8255916,0.0642726,0.15483183,0.23893043,0.16997755
2019-10-03 12:00:00,5.6084223,0.1151476,0.16696478,0.25474736,0.18744056
2019-10-03 15:00:00,5.237019,0.20310055,0.20941484,0.26297188,0.17588958
2019-10-03 18:00:00,4.5445647,0.23603469,0.27705315,0.26599246,0.1496397
2019-10-03 21:00:00,3.8363032,0.19159557,0.34007457,0.24235716,0.11324321
2019-10-04 00:00:00,3.769061,0.10725276,0.23576395,0.19171245,0.44420025
2019-10-04 03:00:00,2.2626417,0.1418641,0.062024735,0.22176936,1.206057
2019-10-04 06:00:00,0.0,0.0,0.0,0.0,0.0
2019-10-04 09:00:00,1.0483642,0.15433183,0.021712203,0.0558038,0.71831244
2019-10-04 12:00:00,2.189224,0.13543944,0.027878791,0.115330465,1.5031486
2019-10-04 15:00:00,2.0194125,0.10966669,0.03411918,0.5491725,0.9298037
2019-10-04 18:00:00,2.060648,0.11216094,0.03787234,0.37343165,1.1661625
2019-10-04 21:00:00,2.4325454,0.12872036,0.044194862,0.24460156,1.2691948
2019-10-05 00:00:00,2.327856,0.12864943,0.048675906,0.1590778,1.1432213
2019-10-05 03:00:00,2.010003,0.09694283,0.04225,0.17196508,0.8526622
2019-10-05 06:00:00,1.8049277,0.112387076,0.03914234,0.19323117,0.8455917
2019-10-05 09:00:00,1.7714334,0.29890504,0.03258614,0.11153584,1.3631135
2019-10-05 12:00:00,2.1050048,0.26668036,0.027168328,0.15792052,1.0988842
2019-10-05 15:00:00,3.2060874,0.23126276,0.025558246,0.1815946,0.96562415
2019-10-05 18:00:00,2.8783934,0.13617909,0.026916608,0.24167508,0.7115989
2019-10-05 21:00:00,2.797522,0.07968733,0.025548901,0.29265502,0.6010807
2019-10-06 00:00:00,3.564644,0.10512366,0.02521831,0.26166007,0.59513354
2019-10-06 03:00:00,4.340932,0.1937436,0.028169066,0.1795728,0.8808034
2019-10-06 06:00:00,4.9548473,0.16903733,0.033661637,0.12918323,0.98980445
2019-10-06 09:00:00,5.482097,0.18632762,0.031849436,0.12821488,1.01721
2019-10-06 12:00:00,5.528242,0.22209649,0.02787857,0.12743494,1.0832506
2019-10-06 15:00:00,5.135224,0.19054072,0.029371532,0.13912345,1.0505315
2019-10-06 18:00:00,6.243434,0.13535629,0.032790747,0.14653562,0.9693886
2019-10-06 21:00:00,6.581231,0.12710962,0.031341985,0.16592282,0.86672133
2019-10-07 00:00:00,5.6175876,0.14496315,0.022092853,0.16014475,0.7751654
2019-10-07 03:00:00,5.9026933,0.11056691,0.026217392,0.17843401,0.7502746
2019-10-07 06:00:00,6.0265393,0.097103216,0.028733473,0.19004138,0.7862133
2019-10-07 09:00:00,4.0562434,0.13429703,0.023005875,0.13510266,0.7785307
2019-10-07 12:00:00,2.8388107,0.1328035,0.042998657,0.120217055,0.42383733
2019-10-07 15:00:00,2.4871213,0.112540245,0.037651647,0.36574224,0.41625282
2019-10-07 18:00:00,2.6011517,0.11177804,0.20554006,0.4808522,0.23392476
2019-10-07 21:00:00,2.4879148,0.07627647,0.35032314,0.6273821,0.19205782
2019-10-08 00:00:00,2.017563,0.061353307,0.33234552,0.502218,0.17152345
2019-10-08 03:00:00,1.9379239,0.07604551,0.46068677,0.47467676,0.14794946
2019-10-08 06:00:00,1.4422917,0.3993654,0.47968957,0.24644491,0.11159282
2019-10-08 09:00:00,0.57603025,1.3511697,0.326903,0.03659339,0.031564992
2019-10-08 12:00:00,0.57210386,1.752635,0.33487755,0.029847428,0.022669932
2019-10-08 15:00:00,1.1026839,1.3944335,0.37904027,0.04574464,0.06671344
2019-10-08 18:00:00,1.2695935,0.6002096,0.5550706,0.09448449,0.09190027
2019-10-08 21:00:00,1.164227,0.55333734,0.44400576,0.08245648,0.093244486
2019-10-09 00:00:00,1.3465765,1.1695746,0.39640534,0.0710601,0.10810809
2019-10-09 03:00:00,1.5497922,2.0655067,0.22252724,0.036825962,0.18933257
2019-10-09 06:00:00,1.4556888,1.3828477,0.14943676,0.020284627,0.39011157
2019-10-09 09:00:00,1.5858929,1.2198704,0.09790209,0.019732192,0.8555593
2019-10-09 12:00:00,1.9210386,0.7609869,0.06041002,0.022845749,1.4081937
2019-10-09 15:00:00,1.9575555,0.84257996,0.05994542,0.022921273,1.33113
2019-10-09 18:00:00,1.6879902,1.4566162,0.1302658,0.020789703,0.5278486
2019-10-09 21:00:00,2.6091666,1.4789497,0.17093495,0.040528785,0.2601234
2019-10-10 00:00:00,2.216534,0.43146077,0.03552366,0.040673897,1.4380642
2019-10-10 03:00:00,2.2091124,0.2674245,0.0327348,0.066809095,1.4002826
2019-10-10 06:00:00,2.0482018,0.29113284,0.026709273,0.053814694,1.488753
2019-10-10 09:00:00,2.5689147,0.46848425,0.05981236,0.041614525,0.9977678
2019-10-10 12:00:00,2.2886899,0.5027405,0.05334576,0.03837789,1.0245093
