time,a,b,c,d,e,f
2019-09-27 12:00:00,0.46820766,0.09298269,0.52581775,0.044514086,0.4754542,0.5222553
2019-09-27 15:00:00,0.47977793,0.11279281,0.7050242,0.059982013,0.5462081,0.7084899
2019-09-27 18:00:00,0.52297103,0.06190293,0.7447447,0.03644219,0.41443196,0.5352633
2019-09-27 21:00:00,0.50404024,0.0447455,0.69655937,0.029846812,0.34991878,0.3379745
2019-09-28 00:00:00,0.6222745,0.050709546,0.8433932,0.03422945,0.34497046,0.30956405
2019-09-28 03:00:00,0.6684246,0.05290171,0.83109725,0.035306707,0.37735733,0.3329759
2019-09-28 06:00:00,0.9107378,0.119386435,1.1465627,0.065330885,0.58387965,0.64479965
2019-09-28 09:00:00,0.8087035,0.103272244,0.84939736,0.05180474,0.5212568,0.47585648
2019-09-28 12:00:00,0.92922634,0.08098241,0.5555346,0.04735589,0.286189,0.20425674
2019-09-28 15:00:00,1.2735258,0.14102766,0.5688038,0.076278634,0.42097127,0.21168973
2019-09-28 18:00:00,1.2234937,0.11780252,0.41082254,0.06441594,0.43045324,0.18710884
2019-09-28 21:00:00,1.4862269,0.094581924,0.5686969,0.056313872,0.32091767,0.18146679
2019-09-29 00:00:00,1.0248239,0.037368827,0.4068125,0.038068786,0.09921925,0.15609424
2019-09-29 03:00:00,1.0959301,0.07163771,0.45393187,0.046262976,0.26307318,0.3134544
2019-09-29 06:00:00,1.0907522,0.10425109,0.57817507,0.05242464,0.43532482,0.46163872
2019-09-29 09:00:00,1.2348742,0.110002674,0.72826093,0.056851607,0.50322235,0.59026
2019-09-29 12:00:00,1.6269976,0.118683785,0.75226724,0.05551026,0.57600087,0.58746916
2019-09-29 15:00:00,2.2093596,0.07008522,0.702171,0.0442559,0.35540178,0.4212866
2019-09-29 18:00:00,2.0752356,0.05428237,0.47152406,0.048206214,0.2534545,0.3641882
2019-09-29 21:00:00,3.325866,0.052294787,0.47157946,0.051999733,0.21788523,0.41760227
2019-09-30 00:00:00,4.273546,0.06267785,0.53946537,0.045787394,0.22796085,0.54303616
2019-09-30 03:00:00,4.151034,0.0716115,0.5600295,0.05667547,0.2278793,0.48053354
2019-09-30 06:00:00,4.049202,0.06468687,0.59664714,0.051189993,0.20545484,0.5925324
2019-09-30 09:00:00,2.0008137,0.047778245,0.46068168,0.04042495,0.1676229,0.4336769
2019-09-30 12:00:00,1.6246452,0.039223775,0.3320577,0.047755126,0.14245442,0.32643908
2019-09-30 15:00:00,1.7116156,0.054316215,0.58228755,0.111505136,0.06781076,0.15656644
2019-09-30 18:00:00,1.7353132,0.032672305,0.38054904,0.06596676,0.04817254,0.12359282
2019-09-30 21:00:00,2.0274549,0.023323378,0.31953883,0.035547342,0.07259611,0.2191004
2019-10-01 00:00:00,2.4562545,0.029413948,0.45241138,0.037129104,0.10827985,0.29364517
2019-10-01 03:00:00,2.623957,0.020631572,0.34544238,0.033345688,0.051628035,0.16132459
2019-10-01 06:00:00,2.8655422,0.020107474,0.3150357,0.034280926,0.046004992,0.14339812
2019-10-01 09:00:00,2.9712944,0.020014882,0.31714815,0.03600423,0.05360477,0.13688768
2019-10-01 12:00:00,3.1573343,0.022486208,0.35866475,0.036957115,0.06430507,0.14415249
2019-10-01 15:00:00,3.317451,0.021757264,0.3813502,0.03478329,0.06990455,0.14460891
2019-10-01 18:00:00,3.6222403,0.021336602,0.37955466,0.034033887,0.07078911,0.14198904
2019-10-01 21:00:00,4.601702,0.02384151,0.41781983,0.035834838,0.07764845,0.15318422
2019-10-02 00:00:00,3.1640027,0.020339584,0.31394172,0.034374624,0.06691445,0.12522666
2019-10-02 03:00:00,3.1154888,0.02263957,0.30142647,0.036774687,0.07253923,0.13385668
2019-10-02 06:00:00,3.7396946,0.019942015,0.30312517,0.032167725,0.06624383,0.121385284
2019-10-02 09:00:00,5.016984,0.02018694,0.34975955,0.032625116,0.06957858,0.12565824
2019-10-02 12:00:00,5.668262,0.020638485,0.35941947,0.033698477,0.06712403,0.12845169
2019-10-02 15:00:00,5.515358,0.020395342,0.3417886,0.035029396,0.06605947,0.12573163
2019-10-02 18:00:00,4.957148,0.021508984,0.31481394,0.035591047,0.06356834,0.12832455
2019-10-02 21:00:00,4.4176617,0.022396347,0.29309666,0.03986616,0.06163494,0.12995201
2019-10-03 00:00:00,3.910015,0.031353716,0.31740648,0.055895634,0.05992142,0.13096127
2019-10-03 03:00:00,3.9156306,0.050653454,0.42708808,0.06778198,0.11322675,0.18599258
2019-10-03 06:00:00,4.201859,0.05757225,0.52190006,0.067018025,0.17597055,0.20811158
2019-10-03 09:00:00,4.440831,0.056792405,0.5264137,0.09053892,0.15893352,0.18009484
2019-10-03 12:00:00,5.1643043,0.0985203,0.61146575,0.098098055,0.17534347,0.18498962
2019-10-03 15:00:00,4.813295,0.16967867,0.63272613,0.12212625,0.16428627,0.18628293
2019-10-03 18:00:00,4.143356,0.20910461,0.6386052,0.15968293,0.13970764,0.18282905
2019-10-03 21:00:00,3.5172834,0.17777143,0.56831956,0.18258412,0.106014326,0.1716005
2019-10-04 00:00:00,3.553912,0.10239918,0.4143323,0.09930575,0.43267873,0.14536256
2019-10-04 03:00:00,2.183622,0.14689901,0.14330341,0.034379713,1.1790473,0.20710509
2019-10-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-04 09:00:00,1.0528837,0.16242103,0.022258949,0.014904619,0.6887151,0.057341076
2019-10-04 12:00:00,2.2021587,0.14241135,0.029512554,0.020151295,1.4601191,0.116668336
2019-10-04 15:00:00,2.0108042,0.10917519,0.028400708,0.027687179,0.8983637,0.5677442
2019-10-04 18:00:00,2.0551553,0.11042988,0.02977049,0.030330222,1.1312879,0.3933016
2019-10-04 21:00:00,2.4235828,0.12615006,0.03957231,0.031718884,1.231835,0.2663977
2019-10-05 00:00:00,2.3127685,0.12510516,0.050032023,0.03137724,1.1065533,0.18164416
2019-10-05 03:00:00,1.9974269,0.09325045,0.041371666,0.027699247,0.82402337,0.19005214
2019-10-05 06:00:00,1.7948643,0.108668745,0.033792805,0.027498586,0.8273362,0.20311943
2019-10-05 09:00:00,1.7587631,0.30547023,0.02875374,0.023894291,1.3395171,0.12117549
2019-10-05 12:00:00,2.0981717,0.27205738,0.021401718,0.021750344,1.0771928,0.1650841
2019-10-05 15:00:00,3.2014394,0.23504004,0.019446533,0.020483945,0.94482154,0.18889584
2019-10-05 18:00:00,2.8727405,0.13669758,0.0201011,0.021120438,0.67661715,0.2674862
2019-10-05 21:00:00,2.79249,0.07893576,0.01813648,0.020168127,0.5513057,0.3354581
2019-10-06 00:00:00,3.5598965,0.104694195,0.017984292,0.019791478,0.5552789,0.29413453
2019-10-06 03:00:00,4.3335876,0.19649757,0.023028988,0.021580812,0.8594389,0.18908675
2019-10-06 06:00:00,4.944564,0.1691009,0.030952124,0.024138734,0.96915776,0.13862076
