time,0,1,2,3,4,5,6,7
2019-09-20 09:00:00,9493.336262671959,9384.849379089384,20307.949922145872,92454.15885275869,64555.27580634726,4269.0149199690695,30263.444356526434,61.41173392043005
2019-09-20 12:00:00,10234.469059379684,10340.601949459224,21493.2841308928,101886.52312635312,25367.567914952422,4470.075044550919,29405.366572956384,35.46105818128209
2019-09-20 15:00:00,9931.300734609704,10734.390294873356,17625.637663415255,122610.25003380488,15370.611007934573,3567.511697357946,35265.2048778775,38.99981420742727
2019-09-20 18:00:00,9474.93975448489,11122.73098488431,17293.817413895184,98466.6263879571,24253.082852664287,3239.475849566487,40164.683585150015,43.87332478504201
2019-09-20 21:00:00,9523.491640902674,6312.603750390032,30803.684105116754,67838.39372725104,41488.4346734121,4196.505075982065,30193.16273135656,1709.8615981006722
2019-09-21 00:00:00,10207.520584600337,12244.324896190452,42145.191362980244,90735.54325941065,18801.12296748557,3756.6497171359315,18469.4850808594,12442.503925020632
2019-09-21 03:00:00,9324.779239450561,16007.554484952381,36599.7609263556,123118.57565904215,14910.290197470398,4023.0539732050265,16476.39017226103,10107.543873017526
2019-09-21 06:00:00,15112.167192413293,23014.345608137683,36513.091499065995,92893.7224794071,684.8702958073281,3949.8286752414065,80180.22009100053,1366.88641662027
2019-09-21 09:00:00,11768.780457498437,25254.7013675239,33420.894349171394,119535.46640247363,863.7032857908407,4594.83816748148,39011.773651722564,5272.697657165813
2019-09-21 12:00:00,8810.179118130955,67545.08108511972,21343.00500656505,258973.64730821073,2587.6623913681515,9408.768852549409,20518.37589473741,13569.305507857192
2019-09-21 15:00:00,9063.486177333441,46318.39406229572,28193.281020048657,175369.8860035135,11593.275445358882,55983.91853687088,35249.932985026855,4621.296970691434
2019-09-21 18:00:00,198967.03939977294,25433.85089408015,30798.80189897315,72848.30182746361,3089.6218741119737,14458.245102508748,5888.530058331444,3948.7550447460285
2019-09-21 21:00:00,235818.46430090713,17386.500182200733,28529.72882334478,56671.97852406004,704.4547491358077,13089.186210278453,13845.573726269478,611.5591597601754
2019-09-22 00:00:00,223988.3016545219,17868.255903656576,33726.137653750455,72563.35925728655,650.5404450788986,10913.571669708308,20549.621438967395,598.1623056724494
2019-09-22 03:00:00,228328.1272666977,18795.633425010365,40647.59174216392,83317.87928015424,454.37661652786664,9972.762060270688,32807.046455979544,431.60055463084274
2019-09-22 06:00:00,154480.28321640968,16102.896228330206,31148.54912752978,118211.91662414127,402.15872125370294,7797.762020048558,56964.103378584645,387.3896929736788
2019-09-22 09:00:00,213409.8301926798,18903.50656977447,27378.8753666244,69561.5550675309,631.5160930101639,10433.266226914879,3879.492263854448,533.3323100017614
2019-09-22 12:00:00,25685.95634668,11292.107022976288,43260.80147967015,36072.82023503028,318.32487191718843,35558.93251492289,314323.34857214376,323.22476704235316
2019-09-22 15:00:00,14874.483957110117,25360.341631357656,36418.01032905448,104226.44130868425,255.97156863992512,134728.04891431582,120815.57007022492,189.63001273300708
2019-09-22 18:00:00,22015.339092538634,9449.57721265758,41613.23351994239,49090.64745193793,378.7463890710673,69416.09809204812,158703.72051111775,338.68847474993686
2019-09-22 21:00:00,10214.775943194778,49464.725412533015,30005.611799783692,108992.71757667027,130.02759114148927,2388.509183704956,108654.74974249829,115.93428445688235
2019-09-23 00:00:00,5553.684611882056,47857.25684997771,12224.062539781913,218611.59664071075,69.50483526645287,3923.2108345174174,39556.28945200837,64.61554924789729
2019-09-23 03:00:00,11907.780330129388,38020.75497892222,24633.862492425847,161317.6589197775,215.04031768725102,25082.499633691055,124473.13552180404,215.91845313353343
2019-09-23 06:00:00,9829.503227378646,28009.263174173746,33745.65278733737,124542.20258149377,373.6648985531693,39000.08019623584,96064.53455851554,497.9022311593633
2019-09-23 09:00:00,10855.634360573518,24308.758762784044,33502.36667760483,131982.38821138244,289.0886130786771,12839.268918741322,92919.4521729905,383.30918232635804
2019-09-23 12:00:00,11538.199326967248,15270.649959168522,36037.472069603384,89310.93647595373,393.94973857927977,5925.120890673518,71250.55639198859,784.3088402790223
2019-09-23 15:00:00,9245.663297942196,15433.72561336062,36852.48834107028,93501.50904751287,487.6375202676434,8768.229650828034,65280.1250111099,390.0819997246726
2019-09-23 18:00:00,5865.806186279415,9701.009531987707,37460.69950810539,127583.56992204612,419.2121556596235,2955.8494231919103,24086.480355444903,311.30054241429497
2019-09-23 21:00:00,6526.605076889825,14055.373118544756,38671.96581628193,102243.02080406717,490.8141869714057,3147.528242298452,28378.87894699473,359.27363383983396
2019-09-24 00:00:00,13573.937067167843,13924.501419795333,35677.99328712955,98682.83221369494,441.15567533104075,15360.215097742308,45742.675324118696,359.5875211944899
2019-09-24 03:00:00,29896.77450431499,11651.079408688569,34559.453299113986,95155.42350953115,408.741370006163,43880.19296781103,61853.30996826316,315.24070991640536
2019-09-24 06:00:00,8727.966508376843,18785.81927347612,39351.854779290756,101250.40140237226,361.11595672334767,36223.7357018144,93684.4381280839,253.07790801128206
2019-09-24 09:00:00,7150.562555182169,46394.83106605598,42814.51088363667,122381.42723491625,292.44940159224154,20895.6134832864,74988.07756602016,241.73355369985362
2019-09-24 12:00:00,65229.59114680454,18683.368668689625,36909.36070315815,61606.255496986756,379.9426832082688,138754.48503359212,134648.12159910097,353.2543557836256
2019-09-24 15:00:00,192703.63633612197,11241.827136959815,65315.07382350237,68579.23430805157,374.8521675549763,89407.27240597531,55795.54728109125,328.3848864310577
2019-09-24 18:00:00,178572.14976389272,15552.492872958435,87637.11176272268,111926.22949502,317.5687962888777,62374.568930151494,29081.536540243527,259.3870588177898
