time,a,b,c
2019-10-01 15:00:00,3.8210645,0.0751621,0.0736291
2019-10-01 18:00:00,4.1218123,0.075580165,0.07255163
2019-10-01 21:00:00,5.150004,0.08363965,0.07638836
2019-10-02 00:00:00,3.5824816,0.07125318,0.07106466
2019-10-02 03:00:00,3.5285869,0.078190915,0.07594712
2019-10-02 06:00:00,4.143279,0.07052997,0.06874747
2019-10-02 09:00:00,5.470669,0.0734359,0.070687234
2019-10-02 12:00:00,6.1313334,0.07189997,0.074361265
2019-10-02 15:00:00,5.954726,0.071320124,0.07831557
2019-10-02 18:00:00,5.370479,0.06991429,0.08056215
2019-10-02 21:00:00,4.802412,0.06961818,0.0925791
2019-10-03 00:00:00,4.2645683,0.07666876,0.16431731
2019-10-03 03:00:00,4.4540415,0.13317826,0.17315389
2019-10-03 06:00:00,4.900388,0.18265446,0.14938927
2019-10-03 09:00:00,5.109817,0.1697903,0.17399682
2019-10-03 12:00:00,5.9101386,0.23019968,0.1923835
2019-10-03 15:00:00,5.52563,0.31726587,0.2454991
2019-10-03 18:00:00,4.801191,0.3553922,0.31670308
2019-10-03 21:00:00,4.0225134,0.32390645,0.37715194
2019-10-04 00:00:00,4.018906,0.46111426,0.26797312
2019-10-04 03:00:00,2.927534,0.8908978,0.075925164
2019-10-04 06:00:00,0.0,0.0,0.0
2019-10-04 09:00:00,1.2479981,0.7222272,0.028299522
2019-10-04 12:00:00,2.6619267,1.273432,0.03566275
2019-10-04 15:00:00,2.9208617,0.67836905,0.042943902
2019-10-04 18:00:00,2.8169556,0.8851082,0.048212316
2019-10-04 21:00:00,3.0305874,1.033512,0.0551576
2019-10-05 00:00:00,2.8994846,0.84790814,0.0600862
2019-10-05 03:00:00,2.4884114,0.6337354,0.05167725
2019-10-05 06:00:00,2.2071908,0.73977333,0.04831691
2019-10-05 09:00:00,2.1015239,1.4343786,0.041672908
2019-10-05 12:00:00,2.4331098,1.1870831,0.03546494
2019-10-05 15:00:00,3.5539145,1.0229048,0.033307552
2019-10-05 18:00:00,3.3074791,0.6532694,0.03401444
2019-10-05 21:00:00,3.307929,0.45684102,0.03172355
2019-10-06 00:00:00,4.0032773,0.51655585,0.031946387
2019-10-06 03:00:00,4.6690803,0.91794163,0.03619895
2019-10-06 06:00:00,5.307178,0.9265789,0.04277687
2019-10-06 09:00:00,5.8132825,0.99185604,0.04056012
2019-10-06 12:00:00,5.820396,1.1326151,0.035891995
2019-10-06 15:00:00,5.451683,1.0551558,0.03795181
2019-10-06 18:00:00,6.6177697,0.8681205,0.04161517
2019-10-06 21:00:00,6.9539084,0.77907264,0.039345507
